video_id,duration
2kyS6SvSYSE,PT11M18S
1ZAPwfrtAFY,PT23M51S
5qpjK5DgCt4,PT9M29S
puqaWrEC7tY,PT7M10S
d380meD0W0M,PT12M13S
gHZ1Qz0KiKM,PT13M53S
39idVpFF7NQ,PT4M42S
nc99ccSXST0,PT10M8S
jr9QtXwC9vc,PT2M29S
TUmyygCMMGA,PT9M3S
9wRQljFNDW8,PT1M16S
VifQlJit6A0,PT1M49S
5E4ZBSInqUU,PT3M27S
GgVmn66oK_A,PT4M29S
TaTleo4cOs8,PT12M23S
kgaO45SyaO4,PT25S
ZAQs-ctOqXQ,PT2M19S
YVfyYrEmzgM,PT4M34S
eNSN6qet1kE,PT13M43S
B5HORANmzHw,PT5M18S
vU14JY3x81A,PT3M47S
6VhU_T463sU,PT5M5S
_-aDHxoblr4,PT4M27S
JBZTZZAcFTw,PT6M
lZ68j2J_GOM,PT2M36S
dRpNZV18N_g,PT8M29S
fcVjitaM3LY,PT8M40S
qeWvgZLz9yU,PT5M52S
iIxy3JN3-jc,PT4M39S
U0hAC8O7RoI,PT8M32S
n1WpP7iowLc,PT5M5S
hz7ukDjuq4w,PT6M39S
p2hJxyF7mok,PT1M13S
0mlNzVSJrT0,PT47S
Om_zGhJLZ5U,PT10M1S
e_7zHm7GsYc,PT3M43S
dQvIbulWCM4,PT4M55S
zZ9FciUx6gs,PT4M15S
PaJCFHXcWmM,PT4M52S
goP4Z5wyOlM,PT31S
NZFhMSgbKKM,PT32S
0tO_l_Ed5Rs,PT4M17S
STI2fI7sKMo,PT15M51S
BWPrk9PUwQE,PT6M42S
ogYum4kWXgk,PT3M20S
sbcbvuitiTc,PT58S
zNqCVTs38nU,PT41S
DM-ni_LSOFE,PT8M49S
0PpNlNJ6Nng,PT13M49S
c-3JxzN2u34,PT5M18S
069D0NmW39o,PT4M58S
9t9u_yPEidY,PT3M58S
KODzih-pYlU,PT7M44S
8NHA23f7LvU,PT2M4S
w0XYVssCKjw,PT4M41S
pjuPpVLXDQg,PT1M18S
9xSx-5tmq44,PT3M28S
4v0nOAzcG2A,PT7M49S
oTObwUiXdYY,PT46S
1cgK-BIrXes,PT1M30S
ujyTQNNjjDU,PT4M21S
PABlVzeldaM,PT4M35S
6340tX9M_eM,PT1M39S
8mhTWqWlQzU,PT16M7S
t4YAyT4ihIQ,PT4M25S
MNiweoKXwfg,PT1M27S
2Vv-BfVoq4g,PT4M40S
UFYCTJlayS4,PT10M4S
cccyOn99s4Y,PT8M3S
abGCYPCk294,PT50M14S
lY_0mkYDZDU,PT4M6S
k8NxqyGcZA4,PT2M34S
IE-xepGLVt8,PT4M29S
ObIQ0s02UHg,PT3M38S
cOc3tsFWoRs,PT2M22S
AJYb0Yom5UQ,PT2M41S
gLswXiRLdkA,PT9M18S
MyEqfBkzESU,PT17M40S
wJYE0sFOteE,PT4M34S
L_5_slz4ke4,PT3M46S
OKoL852K9uA,PT9M2S
pa_oUisZZy0,PT1M21S
fNtLIcyjsnI,PT2M28S
YlvCVbfS9M0,PT1M52S
arJ5h2TY3I4,PT3M45S
-2RVw2_QyxQ,PT5H46M7S
gEHCXl4J9Qo,PT3M6S
-OK9i1_YYYc,PT11H55M9S
b4vTZx_AtHk,PT1M27S
kOnQocd799Y,PT15M24S
e4FApt6z55c,PT3M25S
2XK4omx9uMU,PT2M5S
xfmipNU4Odc,PT3M34S
jp9hK-jY6yY,PT6M
RkHuWjiR-LM,PT3M42S
fCTKDn3Q8xQ,PT4M15S
DIU3xPdhCBI,PT5M40S
wnwF1FHybDQ,PT4M31S
9oFP-pOMNwE,PT13S
pz95u3UVpaM,PT3M37S
g5c1bk8weaQ,PT4M1S
yuBqWcSKrCk,PT7M8S
x9mh-SwSKas,PT16M19S
uiA4B5Y63IQ,PT2M21S
viyRD5z6ilQ,PT3M19S
QFfEtKvXMAs,PT3M52S
xg9ebVTL9yE,PT3M15S
fbHbTBP_u7U,PT3M36S
Ja_GMU7-sjs,PT7M34S
QOksZ8VogRw,PT3M40S
RYs08kX3Ih4,PT10M38S
tOFkFZbPdnQ,PT16S
dW4wpGg64pE,PT5M37S
2VP846QcA_4,PT16M2S
_dhneCO4YEE,PT5M46S
EYkEshCOhEU,PT13M45S
Rq9-mW6HgQE,PT7M13S
k29YnfttqEU,PT2M35S
Eg_kW5fw6qU,PT8M32S
J_QGZspO4gg,PT2M49S
PkRBTF6nt4E,PT1M32S
ozkqm2ifMw8,PT4M11S
htvR_dBs3eg,PT6M22S
qEEtzzi1EII,PT1M49S
1Wk8ZRgXQnY,PT3M41S
8l_e6bx8UG8,PT3M50S
lsfzA7sWlOM,PT58S
RQDphL2MVlM,PT8M35S
X7flefV8tec,PT6M42S
cYw-oyJ7AEY,PT3M32S
6nJw-jPQYVI,PT6M24S
5x1FAiIq_pQ,PT5M6S
LMCuKltaY3M,PT2M26S
6Detw08jRhs,PT1M1S
vd4zwINEcLY,PT56S
7fm7mll2qvg,PT3M56S
5gFpcEKayz4,PT3M51S
eHIY3HNNqzM,PT3M52S
q-WipZ9p0wk,PT20M8S
rL4WkebTT_U,PT9M6S
Y6eKxjMA9ek,PT14M7S
Q6Usd3_fbq8,PT3M51S
44NYFvhXmW8,PT4M9S
9wg3v-01yKQ,PT3M3S
F-j_6IuaYfw,PT6M39S
_qSW96a2aKY,PT3M15S
afgvlR9WmIQ,PT3M58S
_CJN_ryETIY,PT5M40S
P4YJwy_T9pM,PT13M52S
YqH4eWR7jDQ,PT1M21S
r96KpNTcog4,PT6M29S
B4gXsobd_ao,PT4M30S
x8eLIJAM58M,PT2M1S
6V_aZsATDsM,PT10M18S
qg0GdM60syI,PT16S
8j_BYfVEyhA,PT30M51S
9ymjcSvEyhk,PT4M11S
oB3SAI2oCqk,PT1M4S
HNa_UWX51_s,PT4M49S
08nkwgZIE4I,PT3M48S
5Smb3tZD1Qc,PT3M37S
YHDbsyyjld0,PT5M14S
uyl6WtHEYOQ,PT2M14S
_w58R1OGQFA,PT4M29S
BEweWXa5Twk,PT13M10S
egXr0PU-kCY,PT18M52S
fIQ2Ty2OL34,PT7M10S
d_j512i2k6c,PT7M53S
4d07RXYLsJE,PT24S
DOIw62TXYkg,PT2M5S
0lbJHqAGpbA,PT1M28S
JuP1Z8xpRb8,PT3M47S
CR9zYgr84QY,PT8M37S
1640fZpYBSY,PT1M23S
M2-IpsWQUWs,PT2M33S
7m630xvAJtA,PT3M50S
510KQ_LXGww,PT18M15S
CO9dIyNM_9Q,PT1M39S
mwpHSMv1pI4,PT3M40S
Mfiim71QdYQ,PT4M58S
UFPSIa1cLRQ,PT3M14S
o78x918zbFk,PT15M48S
iNf6VErGDLI,PT7M55S
6ixU_vdE0Es,PT6M30S
agKDPntMv-E,PT7M
Xl38SuxyrgM,PT9M24S
u7pV4vxD1bs,PT5M4S
zYWt2mnalP8,PT3M10S
PoNWU2cox9w,PT4M15S
6hTzM1BPdU8,PT7M13S
MCW5HUkrr-o,PT11M12S
YvfYK0EEhK4,PT2M18S
cxMvzK2OQTw,PT2M43S
bAkEd8r7Nnw,PT10M28S
ItYOdWRo0JY,PT10M55S
5530I_pYjbo,PT5M51S
dUMH6DVYskc,PT42S
gjXrm2Q-te4,PT1M16S
9SK1I0V6U5c,PT5M58S
